Cartesian Coordinates:
6.293882 9.478736 5.754194
8.848220 9.757564 5.518303
11.373199 10.164439 5.236723
13.891234 10.698411 5.018892
7.450979 10.360752 5.236559
9.977189 10.813625 5.414971
12.525024 11.139140 5.586206
15.040333 11.468555 5.715244
5.155475 9.924370 5.246482
6.221328 9.527666 7.073720
6.477819 8.222239 5.370786
7.355161 11.556351 5.831194
7.298738 10.506338 3.918485
9.080431 8.785443 4.628014
8.855223 9.236386 6.750946
9.732146 11.605665 4.365857
9.982567 11.546161 6.534605
11.454769 9.095141 6.039847
11.511104 9.773099 3.965461
12.232568 12.352036 5.114442
12.646708 11.197206 6.922926
14.021982 9.364855 5.238105
13.934728 10.923565 3.708546
15.222179 12.612856 5.464995
15.754707 10.767476 6.589115
15.467417 9.844966 6.620872

Fractional (Direct) Coordinates:
0.277141 0.417382 0.287710
0.389618 0.429659 0.275915
0.500801 0.447575 0.261836
0.611679 0.471088 0.250945
0.328092 0.456220 0.261828
0.439330 0.476161 0.270749
0.551520 0.490495 0.279310
0.662278 0.505000 0.285762
0.227013 0.437004 0.262324
0.273947 0.419536 0.353686
0.285241 0.362054 0.268539
0.323873 0.508866 0.291560
0.321389 0.462630 0.195924
0.399843 0.386854 0.231401
0.389926 0.406710 0.337547
0.428540 0.511038 0.218293
0.439567 0.508417 0.326730
0.504393 0.400491 0.301992
0.506874 0.430343 0.198273
0.538642 0.543903 0.255722
0.556878 0.493052 0.346146
0.617436 0.412367 0.261905
0.613594 0.481002 0.185427
0.670285 0.555388 0.273250
0.693734 0.474129 0.329456
0.681084 0.433508 0.331044

